City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Saldanha,ZA,46.45,broken clouds,-33.0117,17.9442,Saldanha Bay Hotel
2,Punta Arenas,CL,41.11,broken clouds,-53.15,-70.9167,Hotel Cabo de Hornos
3,Narsaq,GL,52.02,overcast clouds,60.9167,-46.05,Igdlo Guesthouse
4,Oga,IT,66.88,broken clouds,46.4631,10.347,Alpen
5,Longjiang,CN,66.29,clear sky,47.3303,123.1836,Longjiang Hotel
6,East London,ZA,64.31,overcast clouds,-33.0153,27.9116,Garden Court East London
7,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto Prime
8,Tabuk,PH,73.4,overcast clouds,17.4189,121.4443,"M Hotel Tabuk, INC."
9,Chicama,PE,61.34,scattered clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
11,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,La Hacienda Hotel
12,Hobart,AU,44.28,clear sky,-42.8794,147.3294,Hotel Grand Chancellor Hobart
13,Mataura,NZ,57.47,overcast clouds,-46.1927,168.8643,Ellie's Villa
14,Bururi,BI,59.04,scattered clouds,-3.85,29.6333,Bahía Paraíso Luxury Suites
15,Tuatapere,NZ,53.56,light rain,-46.1333,167.6833,Tui Base Camp Motels
16,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
17,Saint-Leu,RE,65.32,light rain,-21.15,55.2833,Iloha Seaview Hotel
18,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
19,Atuona,PF,77.49,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
20,Cape Town,ZA,54.91,few clouds,-33.9258,18.4232,The Table Bay hotel
21,Ushuaia,AR,40.66,broken clouds,-54.8,-68.3,Hotel Los Yámanas de Ushuaia
22,Busselton,AU,51.76,overcast clouds,-33.65,115.3333,Esplanade Hotel
23,Bilibino,RU,48.24,overcast clouds,68.0546,166.4372,Profilaktoriy Baes
24,Kodiak,US,62.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
27,Tuktoyaktuk,CA,68.0,broken clouds,69.4541,-133.0374,Smitty's Bed and Breakfast
28,Mehamn,NO,62.55,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
29,Bengkulu,ID,73.72,overcast clouds,-3.8004,102.2655,Mercure Bengkulu
30,Bredasdorp,ZA,49.06,overcast clouds,-34.5322,20.0403,Victoria Hotel - Bredasdorp
31,Tasiilaq,GL,41.16,overcast clouds,65.6145,-37.6368,Hotel Angmagssalik
32,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,The Islander Hotel
38,Panzhihua,CN,69.37,overcast clouds,26.5851,101.7128,Jinhai New Century Grand Hotel
39,Zhigansk,RU,48.18,overcast clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
40,Bluff,NZ,57.79,overcast clouds,-46.6,168.3333,Land's End Boutique Hotel
41,Mar Del Plata,AR,48.09,few clouds,-38.0023,-57.5575,NH Gran Hotel Provincial
42,Muros,ES,71.69,broken clouds,42.7762,-9.0603,Miraflores Alojamiento Turístico
43,Novyy Urengoy,RU,61.7,overcast clouds,66.0833,76.6333,Amaks Polyarnaya Zvezda
44,Tautira,PF,76.24,light rain,-17.7333,-149.15,InterContinental Resort Tahiti
47,Anadyr,RU,57.7,light rain,64.75,177.4833,Anadyr
48,Rikitea,PF,70.93,overcast clouds,-23.1203,-134.9692,Pension Bianca & Benoit
49,Padang,ID,73.45,light rain,-0.9492,100.3543,Mercure Padang
50,Biltine,TD,77.97,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
51,Barrow,US,56.32,overcast clouds,71.2906,-156.7887,Top of the World Hotel
53,Sulangan,PH,79.83,overcast clouds,11.1373,123.7228,Paradise reef resort
55,Torbay,CA,77.76,broken clouds,47.6666,-52.7314,See The Sea
56,Tramagal,PT,69.22,overcast clouds,39.45,-8.25,Luna Hotel Turismo
57,Akdepe,TM,78.89,clear sky,42.0551,59.3788,"Hotel ""ARAL"""
58,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Orlanova Boutique Hotel
59,Broome,US,74.19,light rain,42.2506,-75.833,Holiday Inn Express & Suites Gibson
60,Harper,LR,74.57,overcast clouds,4.375,-7.7169,Grands' Guesthouse
61,Tagusao,PH,79.84,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
62,College,US,75.07,few clouds,64.8569,-147.8028,Best Western Plus Pioneer Park Inn
63,Rabo De Peixe,PT,72.91,few clouds,37.8,-25.5833,Pedras do Mar Resort & SPA
64,Pueblo Nuevo,MX,71.22,overcast clouds,23.3833,-105.3833,Molinillos Mountain Resort
66,Northam,GB,60.62,clear sky,51.0333,-4.2167,The Royal Hotel
67,Coquimbo,CL,58.73,clear sky,-29.9533,-71.3436,Hostel Del Puerto
69,Vao,NC,72.01,overcast clouds,-22.6667,167.4833,OURE TERA beach resort
70,Qaqortoq,GL,48.02,overcast clouds,60.7167,-46.0333,Siniffik Inn
71,Yellowknife,CA,64.92,broken clouds,62.456,-114.3525,The Explorer Hotel
72,Imbituba,BR,73.85,moderate rain,-28.24,-48.6703,Praia Hotel Imbituba
73,Luena,AO,61.34,clear sky,-11.7833,19.9167,Hotel Kandamba
74,Airai,TL,55.13,few clouds,-8.9266,125.4092,Hotel Timor
75,Nome,US,52.16,overcast clouds,64.5011,-165.4064,Aurora Inn & Suites
77,Constitucion,CL,54.23,overcast clouds,-35.3333,-72.4167,Hotel Nogal
79,Hammerfest,NO,55.85,broken clouds,70.6634,23.6821,Scandic Hammerfest
80,Merauke,ID,75.94,broken clouds,-8.4667,140.3333,Swiss-Belhotel Merauke
81,Lasa,IT,74.28,broken clouds,46.6166,10.7002,Gasthof Zur Sonne
82,Rawson,AR,47.41,broken clouds,-43.3002,-65.1023,Complejo Bahia Ballenas
83,Yar-Sale,RU,56.35,clear sky,66.8333,70.8333,Yalemd
84,Dudinka,RU,60.62,overcast clouds,69.4058,86.1778,Yenisei lights
87,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Dayspring Lodge
88,Saint-Philippe,RE,65.21,scattered clouds,-21.3585,55.7679,Hôtel Les Embruns Du Baril
89,Lidkoping,SE,64.42,overcast clouds,58.5052,13.1577,Best Western Edward Hotel
90,Vila,PT,67.69,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae
95,Kurdzhinovo,RU,62.4,clear sky,43.9884,40.9552,Camping Bolshaya Laba
97,Kununurra,AU,64.38,broken clouds,-15.7667,128.7333,The Kimberley Grande Resort
98,Richards Bay,ZA,66.15,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
100,Pemba,MZ,74.1,few clouds,-12.974,40.5178,Avani Pemba Beach Hotel
101,Nikolskoye,RU,66.09,few clouds,59.7035,30.7861,Tourist House - Sablino
103,Roebourne,AU,61.74,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
104,Lagoa,PT,75.7,light rain,39.05,-27.9833,Graciosa Resort - Biosphere Island Hotel
107,Chuy,UY,52.23,overcast clouds,-33.6971,-53.4616,Hotel Internacional
108,San Carlos De Bariloche,AR,38.95,broken clouds,-41.1456,-71.3082,Bahía Paraíso Luxury Suites
109,Hualmay,PE,65.71,scattered clouds,-11.0964,-77.6139,Hotel Terrazas Del Mar - Huacho
110,Katsuura,JP,74.46,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
111,Sitka,US,62.49,overcast clouds,57.0531,-135.33,Sitka Hotel
115,Qasigiannguit,GL,44.85,light rain,68.8193,-51.1922,Hotel Diskobay
116,Dubrovytsya,UA,68.52,broken clouds,51.5744,26.565,Druzhba
117,Kapit,MY,73.18,moderate rain,2.0167,112.9333,Loft Pals Urbanstay
118,Nizhnekamsk,RU,68.79,clear sky,55.6366,51.8245,Oliviya
119,Cidreira,BR,68.38,scattered clouds,-30.1811,-50.2056,Hotel Castelo
120,Oberwart,AT,73.62,clear sky,47.2897,16.206,AVITA Resort - Hotel/Therme/Spa
123,Majengo,TZ,67.28,scattered clouds,-5.15,38.9833,Dolphin Hotel and Restaurant
125,Asfi,MA,70.38,clear sky,32.2994,-9.2372,Valley Boutique Hotel
126,Pangnirtung,CA,50.0,broken clouds,66.1451,-65.7125,Auyuittuq Lodge (Inns North)
127,Port Alfred,ZA,59.63,scattered clouds,-33.5906,26.891,Royal St Andrews Hotel
