City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Cabo San Lucas,MX,22.8909,-109.9124,94.6,61,0,11.5,clear sky
1,Saldanha,ZA,-33.0117,17.9442,46.45,83,55,7.18,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,0.0,broken clouds
3,Narsaq,GL,60.9167,-46.05,52.02,86,95,3.27,overcast clouds
4,Oga,IT,46.4631,10.347,66.88,82,68,3.2,broken clouds
5,Longjiang,CN,47.3303,123.1836,66.29,88,6,9.78,clear sky
6,East London,ZA,-33.0153,27.9116,64.31,71,100,4.16,overcast clouds
7,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,82,49,18.32,scattered clouds
8,Tabuk,PH,17.4189,121.4443,73.4,94,98,2.04,overcast clouds
9,Chicama,PE,-7.8447,-79.1469,61.34,65,37,10.13,scattered clouds
10,Luderitz,NA,-26.6481,15.1594,56.34,78,1,11.36,clear sky
11,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,20,16.11,few clouds
12,Hobart,AU,-42.8794,147.3294,44.28,89,0,4.61,clear sky
13,Mataura,NZ,-46.1927,168.8643,57.47,89,100,5.32,overcast clouds
14,Bururi,BI,-3.85,29.6333,59.04,57,42,2.08,scattered clouds
15,Tuatapere,NZ,-46.1333,167.6833,53.56,64,100,9.64,light rain
16,Puerto Ayora,EC,-0.7393,-90.3518,76.96,83,53,7.0,broken clouds
17,Saint-Leu,RE,-21.15,55.2833,65.32,78,63,3.15,light rain
18,Mahon,ES,39.8885,4.2658,79.36,73,0,2.3,clear sky
19,Atuona,PF,-9.8,-139.0333,77.49,71,17,16.93,few clouds
20,Cape Town,ZA,-33.9258,18.4232,54.91,89,20,10.36,few clouds
21,Ushuaia,AR,-54.8,-68.3,40.66,70,75,1.14,broken clouds
22,Busselton,AU,-33.65,115.3333,51.76,74,100,5.61,overcast clouds
23,Bilibino,RU,68.0546,166.4372,48.24,80,100,5.32,overcast clouds
24,Kodiak,US,57.79,-152.4072,62.11,72,100,3.44,overcast clouds
25,Butaritari,KI,3.0707,172.7902,81.41,76,81,11.21,broken clouds
26,Nantucket,US,41.2835,-70.0995,84.34,89,40,12.66,scattered clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,68.0,40,75,6.91,broken clouds
28,Mehamn,NO,71.0357,27.8492,62.55,72,0,9.22,clear sky
29,Bengkulu,ID,-3.8004,102.2655,73.72,90,97,3.51,overcast clouds
30,Bredasdorp,ZA,-34.5322,20.0403,49.06,92,93,5.93,overcast clouds
31,Tasiilaq,GL,65.6145,-37.6368,41.16,84,100,1.68,overcast clouds
32,Avarua,CK,-21.2078,-159.775,77.05,73,75,18.41,broken clouds
33,Guerrero Negro,MX,27.9769,-114.0611,80.31,54,1,16.28,clear sky
34,Marshall,US,34.3834,-86.3333,90.07,52,0,10.36,clear sky
35,Jamestown,US,42.097,-79.2353,84.02,49,0,12.66,clear sky
36,Dikson,RU,73.5069,80.5464,44.13,100,100,9.89,light rain
37,Lana,IT,46.6124,11.1559,81.82,63,48,3.09,scattered clouds
38,Panzhihua,CN,26.5851,101.7128,69.37,96,100,1.28,overcast clouds
39,Zhigansk,RU,66.7697,123.3711,48.18,60,100,21.41,overcast clouds
40,Bluff,NZ,-46.6,168.3333,57.79,65,100,21.79,overcast clouds
41,Mar Del Plata,AR,-38.0023,-57.5575,48.09,78,20,4.61,few clouds
42,Muros,ES,42.7762,-9.0603,71.69,73,77,18.57,broken clouds
43,Novyy Urengoy,RU,66.0833,76.6333,61.7,78,100,13.04,overcast clouds
44,Tautira,PF,-17.7333,-149.15,76.24,80,96,27.18,light rain
45,Parangan,PH,5.0839,119.9383,81.41,76,100,1.05,overcast clouds
46,Champerico,GT,14.3,-91.9167,83.44,75,100,8.55,overcast clouds
47,Anadyr,RU,64.75,177.4833,57.7,76,0,4.47,light rain
48,Rikitea,PF,-23.1203,-134.9692,70.93,70,96,19.35,overcast clouds
49,Padang,ID,-0.9492,100.3543,73.45,81,100,3.04,light rain
50,Biltine,TD,14.5333,20.9167,77.97,72,64,5.35,broken clouds
51,Barrow,US,71.2906,-156.7887,56.32,62,92,15.61,overcast clouds
52,Iquitos,PE,-3.7481,-73.2472,80.64,83,75,3.44,broken clouds
53,Sulangan,PH,11.1373,123.7228,79.83,81,100,6.91,overcast clouds
54,Albany,US,42.6001,-73.9662,95.59,34,35,8.93,moderate rain
55,Torbay,CA,47.6666,-52.7314,77.76,71,75,10.36,broken clouds
56,Tramagal,PT,39.45,-8.25,69.22,88,97,8.52,overcast clouds
57,Akdepe,TM,42.0551,59.3788,78.89,33,0,8.41,clear sky
58,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,0,9.22,clear sky
59,Broome,US,42.2506,-75.833,74.19,69,75,3.44,light rain
60,Harper,LR,4.375,-7.7169,74.57,78,100,7.29,overcast clouds
61,Tagusao,PH,9.1924,117.8141,79.84,82,100,3.51,overcast clouds
62,College,US,64.8569,-147.8028,75.07,51,20,8.05,few clouds
63,Rabo De Peixe,PT,37.8,-25.5833,72.91,94,20,8.05,few clouds
64,Pueblo Nuevo,MX,23.3833,-105.3833,71.22,69,91,5.06,overcast clouds
65,Hilo,US,19.7297,-155.09,87.28,71,0,9.22,clear sky
